,train,val,test
0,007,134,174
1,018,047,120
2,024,178,010
3,030,124,031
4,038,051,005
5,043,098,058
6,046,044,142
7,054,172,183
8,055,121,012
9,057,190,069
10,068,,
11,073,,
12,077,,
13,078,,
14,079,,
15,080,,
16,081,,
17,084,,
18,086,,
19,088,,
20,099,,
21,107,,
22,108,,
23,109,,
24,122,,
25,125,,
26,127,,
27,130,,
28,137,,
29,138,,
30,140,,
31,141,,
32,157,,
33,159,,
34,160,,
35,187,,
36,192,,
37,196,,
38,002,,
39,004,,
40,016,,
41,027,,
42,035,,
43,041,,
44,045,,
45,049,,
46,062,,
47,067,,
48,094,,
49,096,,
50,106,,
51,110,,
52,115,,
53,116,,
54,119,,
55,139,,
56,144,,
57,148,,
58,149,,
59,150,,
60,153,,
61,165,,
62,166,,
63,169,,
64,173,,
65,176,,
66,177,,
67,180,,
68,182,,
69,184,,
70,185,,
71,188,,
72,189,,
73,191,,
